price,Locality,Area,Possession Status,Furnishing Status,Number of Rooms,Number of Bathroom,Number of Parking,View /Facing,Floor No.,Additional Rooms,Age of Property (Years),Total Floor Count,clustering
104.0,Miyapur,1680.0,Ready To Move,Semi-Furnished,3,2,2,North,2.0,"Pooja Room,Study Room,Extra Room",0-1,5.0,low
104.0,Kondapur,1600.0,Ready To Move,Unfurnished,3,3,1,West,2.0,"Pooja Room,Study Room",0-1,5.0,low
69.46,Kollur,1579.0,Under Construction,Unfurnished,3,3,2,East,7.0,Pooja Room,0-1,15.0,low
112.99999999999999,Kondapur,1515.0,Ready To Move,Unfurnished,3,2,1,East,5.0,Pooja Room,0-1,5.0,low
46.0,Tolichowki,1100.0,Ready To Move,Unfurnished,2,2,1,East,2.0,Servant Room,0-1,5.0,premium
121.0,Shaikpet,1875.0,Ready To Move,Unfurnished,3,2,2,North,1.0,Extra Room,5-7,20.0,high
66.0,Gajularamaram,1200.0,Ready To Move,Unfurnished,2,2,1,East,5.0,Pooja Room,0-1,5.0,premium
113.99999999999999,Kondapur,1525.0,Under Construction,Unfurnished,3,3,3,East,18.0,Pooja Room,0-1,12.0,low
121.0,Nanakramguda,1425.0,Ready To Move,Unfurnished,3,3,6,East,2.0,"Pooja Room,Servant Room,Study Room",0-1,4.0,low
48.0,Meerpet,1045.0,Ready To Move,Furnished,2,2,1,East,2.0,Pooja Room,5-7,4.0,premium
29.0,Boduppal,700.0,Ready To Move,Furnished,2,1,1,North,3.0,Pooja Room,10+,4.0,premium
34.48,Bacharam,1150.0,Under Construction,Unfurnished,2,2,2,East,3.0,Pooja Room,0-1,5.0,premium
34.63,Bacharam,1155.0,Under Construction,Unfurnished,2,2,5,East,4.0,Pooja Room,0-1,5.0,premium
34.48,Bacharam,1150.0,Under Construction,Unfurnished,2,2,2,East,2.0,Pooja Room,0-1,5.0,premium
120.0,Madhapur,1770.0,Under Construction,Unfurnished,3,3,2,East,4.0,Pooja Room,0-1,7.0,low
140.0,Kondapur,2237.1499999999996,Ready To Move,Unfurnished,3,3,1,North,3.0,Pooja Room,0-1,5.0,high
102.0,Miyapur,1940.0,Ready To Move,Unfurnished,3,3,2,East,3.0,Pooja Room,0-1,13.0,high
33.73,Bacharam,1125.0,Under Construction,Unfurnished,2,2,2,East,2.0,Pooja Room,0-1,5.0,premium
140.0,Padmarao Nagar,1580.0,Under Construction,Semi-Furnished,3,3,2,East,18.0,"Pooja Room,Study Room",0-1,12.0,low
34.93,Bacharam,1165.0,Under Construction,Unfurnished,2,2,2,North,3.0,Pooja Room,0-1,5.0,premium
70.74,Miyapur,1335.0,Ready To Move,Unfurnished,2,3,2,West,18.0,Pooja Room,0-1,13.0,premium
75.0,Gajularamaram,1500.0,Ready To Move,Unfurnished,3,3,1,East,2.0,Study Room,0-1,5.0,low
84.37,Kondapur,1125.0,Under Construction,Unfurnished,2,2,1,East,2.0,Extra Room,0-1,5.0,premium
113.99999999999999,Kondapur,1525.0,Under Construction,Unfurnished,3,2,1,East,2.0,Extra Room,0-1,5.0,low
120.0,Mansoorabad,1420.0,Ready To Move,Unfurnished,2,2,2,East,1.0,"Pooja Room,Servant Room,Study Room",0-1,5.0,low
28.8,Bhanur,1440.0,Under Construction,Unfurnished,2,2,1,East,1.0,Pooja Room,2-4,15.0,low
50.0,Manikonda,830.0,Ready To Move,Semi-Furnished,2,2,1,West,3.0,Servant Room,5-7,4.0,premium
100.0,Begumpet,1614.0,Ready To Move,Unfurnished,3,3,1,East,1.0,Extra Room,2-4,6.0,low
78.0,Old Bowenpally,1200.0,Ready To Move,Unfurnished,3,2,1,East,3.0,Study Room,0-1,6.0,premium
32.98,Bacharam,1100.0,Under Construction,Unfurnished,2,2,2,North West,4.0,Pooja Room,0-1,5.0,premium
35.23,Bacharam,1175.0,Under Construction,Unfurnished,2,2,2,North West,5.0,Pooja Room,0-1,5.0,premium
40.45,Isnapur,1065.0,Ready To Move,Unfurnished,2,2,1,East,1.0,Pooja Room,0-1,5.0,premium
71.0,Masab Tank,1420.0,Ready To Move,Unfurnished,3,2,1,East,5.0,Servant Room,0-1,5.0,low
91.44,Kondapur,1270.0,Under Construction,Unfurnished,2,2,2,East,18.0,"Pooja Room,Study Room",0-1,12.0,premium
27.34,Bhanur,1367.0,Under Construction,Unfurnished,2,2,1,East,3.0,Pooja Room,0-1,15.0,low
33.88,Bacharam,1130.0,Under Construction,Unfurnished,2,2,2,South East,1.0,Pooja Room,0-1,5.0,premium
49.22,Chandanagar,1070.0,Ready To Move,Unfurnished,2,2,1,North,2.0,Pooja Room,0-1,5.0,premium
54.93,Bachupally,1169.0,Ready To Move,Unfurnished,2,2,1,West,5.0,Pooja Room,0-1,6.0,premium
52.2,Gajularamaram,1160.0,Under Construction,Unfurnished,2,2,1,North East,2.0,Pooja Room,0-1,5.0,premium
85.0,Gachibowli,1264.0,Ready To Move,Semi-Furnished,2,2,1,North,5.0,Pooja Room,5-7,6.0,premium
95.0,Gachibowli,1443.0,Ready To Move,Semi-Furnished,3,3,1,North,3.0,Pooja Room,5-7,6.0,low
